🕘️更新时间,#genre#
2025-09-22 16:19:15,http://localhost:8000/live/-4681707794702443181

📺央视频道,#genre#
CCTV-2,http://localhost:8000/live/-4681707794702443181
CCTV-4,http://localhost:8000/live/5096708933709230183
CCTV-6,http://localhost:8000/live/900657095972719308
CCTV-9,http://localhost:8000/live/2069006862871375855
CCTV-10,http://localhost:8000/live/5504475419168788534
CCTV-12,http://localhost:8000/live/-2513198864640739493
CCTV-12,http://localhost:8000/live/971714665318250861
CCTV-13,http://localhost:8000/live/5266319238558944993
CCTV-17,http://localhost:8000/live/8993342149792158921
CETV-1,http://localhost:8000/live/3130037885933294697
CETV-1,http://localhost:8000/live/2339927775981830359
CETV-1,http://localhost:8000/live/7979001841337073036
CETV-1,http://localhost:8000/live/3105630388074384117
CETV-1,http://localhost:8000/live/-3024157763759858012
CETV-1,http://localhost:8000/live/5034018507809782199
CETV-4,http://localhost:8000/live/-1095605139843543144
CETV-4,http://localhost:8000/live/3120338175115492210
CETV-4,http://localhost:8000/live/-2541195921007954185

💰央视付费频道,#genre#
第一剧场,http://localhost:8000/live/-9007234815470298365
怀旧剧场,http://localhost:8000/live/4553136435982577529

📡卫视频道,#genre#
广东卫视,http://localhost:8000/live/-8496872963004963354
浙江卫视,http://localhost:8000/live/-3577699198652840466
湖南卫视,http://localhost:8000/live/8418784859218226555
湖南卫视,http://localhost:8000/live/-7014448922595122876
北京卫视,http://localhost:8000/live/-8854419786533792300
北京卫视,http://localhost:8000/live/-6327884863653150871
北京卫视,http://localhost:8000/live/4066672803704949932
湖北卫视,http://localhost:8000/live/-8413348831029020505
湖北卫视,http://localhost:8000/live/1933490463877202303
安徽卫视,http://localhost:8000/live/6267961359430045892
安徽卫视,http://localhost:8000/live/-6344782968994724694
重庆卫视,http://localhost:8000/live/3182327128991316976
东方卫视,http://localhost:8000/live/4164996076120771209
东方卫视,http://localhost:8000/live/3544126312747548512
东方卫视,http://localhost:8000/live/-1268958716559148409
东方卫视,http://localhost:8000/live/-3803387588719633978
东南卫视,http://localhost:8000/live/-17807494925134253
东南卫视,http://localhost:8000/live/5227876894215348581
东南卫视,http://localhost:8000/live/8321314293630144341
甘肃卫视,http://localhost:8000/live/-2991784191782334838
广西卫视,http://localhost:8000/live/5879090525788228761
广西卫视,http://localhost:8000/live/-2476700019391991318
贵州卫视,http://localhost:8000/live/-848823901481056050
贵州卫视,http://localhost:8000/live/151681800239412304
海南卫视,http://localhost:8000/live/8587745138754811208
海南卫视,http://localhost:8000/live/5304873734518502622
河北卫视,http://localhost:8000/live/3774717499571072315
河北卫视,http://localhost:8000/live/-2144877161156746420
河南卫视,http://localhost:8000/live/1531045031403345934
河南卫视,http://localhost:8000/live/-5571892106119304808
河南卫视,http://localhost:8000/live/6055821497051018836
吉林卫视,http://localhost:8000/live/-7483232548169714168
江苏卫视,http://localhost:8000/live/6052701320998140400
江苏卫视,http://localhost:8000/live/8596896337280126064
江西卫视,http://localhost:8000/live/3465564726969105647
辽宁卫视,http://localhost:8000/live/-8442582782576681734
辽宁卫视,http://localhost:8000/live/6450658811890493031
辽宁卫视,http://localhost:8000/live/7244316395262953040
辽宁卫视,http://localhost:8000/live/-4505729279406232319
宁夏卫视,http://localhost:8000/live/3691971848993249877
青海卫视,http://localhost:8000/live/-3713452371696279197
青海卫视,http://localhost:8000/live/9076590061781263911
山东卫视,http://localhost:8000/live/-1363004523439083630
山东卫视,http://localhost:8000/live/7762021753463339919
山东卫视,http://localhost:8000/live/-8878120774554098211
山东卫视,http://localhost:8000/live/9116274305904135659
山西卫视,http://localhost:8000/live/-1855869775894499302
山西卫视,http://localhost:8000/live/5319905325094814258
陕西卫视,http://localhost:8000/live/-8143627014512360115
四川卫视,http://localhost:8000/live/-1731354310048129891
深圳卫视,http://localhost:8000/live/7973170652602077282
深圳卫视,http://localhost:8000/live/7763750949034996124
三沙卫视,http://localhost:8000/live/-8421353073134023962
天津卫视,http://localhost:8000/live/-6393224687134182763
天津卫视,http://localhost:8000/live/-8238086696915561867
天津卫视,http://localhost:8000/live/-6612532057482367295
西藏卫视,http://localhost:8000/live/8255095887743146632
新疆卫视,http://localhost:8000/live/8886636572155244773
云南卫视,http://localhost:8000/live/6897713840218188712

☘️广东频道,#genre#
广东珠江,http://localhost:8000/live/3673794891668386001
广东体育,http://localhost:8000/live/4559444662841265648

☘️浙江频道,#genre#
浙江钱江,http://localhost:8000/live/965700862948558049
嘉兴新闻综合,http://localhost:8000/live/8612345661073017404
嘉兴新闻综合,http://localhost:8000/live/-4581304850424894790
嘉兴公共,http://localhost:8000/live/5273681181618731308
嘉兴文化影视,http://localhost:8000/live/6067530509657471331
湖州新闻综合,http://localhost:8000/live/-604470461788820442
湖州新闻综合,http://localhost:8000/live/7626881637091474509
湖州文化娱乐,http://localhost:8000/live/-5102020013743690426
湖州文化娱乐,http://localhost:8000/live/8905120963651958312
浙江青田,http://localhost:8000/live/-2012823664882422783
象山综合,http://localhost:8000/live/-7918614292874607122
绍兴电视台公共,http://localhost:8000/live/4920357122056424848
湖州公共民生,http://localhost:8000/live/-4854244242718015321
海宁新闻综合,http://localhost:8000/live/1263945881790454353
海宁新闻综合,http://localhost:8000/live/-8683224470509336246
庆元综合,http://localhost:8000/live/-896116003613719239
义乌新闻综合,http://localhost:8000/live/-3219106259035851986

☘️北京频道,#genre#
